Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
count_4__reg_p_D_NOR2X0P5H7L_Y,1.2,4.960e-07,0.000e+00,5.502e-10,4.965e-07
count_0__reg_p_D_NOR2X0P5H7L_Y,1.2,4.808e-07,0.000e+00,5.498e-10,4.813e-07
led[0]_reg_p_D_MUXI2X0P5H7L_Y_B_NOR2X0P5H7L_Y,1.2,3.378e-07,0.000e+00,6.672e-10,3.385e-07
count_3__AND4X0P5H7L_D,1.2,3.331e-07,0.000e+00,5.293e-10,3.336e-07
rst_BUFX3H7L_A,1.2,2.971e-07,0.000e+00,2.213e-09,2.993e-07
led[1]_reg_p_D_MUX2X1P4H7L_Y_A_NOR2BX1H7L_Z,1.2,2.409e-07,0.000e+00,1.369e-09,2.422e-07
led[15]_reg_p_D_MUX2X1P4H7L_Y_B_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[3]_reg_p_D_MUX2X0P5H7L_Y_B_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[6]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[5]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[7]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[8]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[4]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[3]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[10]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[11]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[12]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[13]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[9]_reg_p_D_MUX2X0P5H7L_Y_A_NOR2BX1H7L_Z,1.2,2.408e-07,0.000e+00,1.369e-09,2.422e-07
led[15]_reg_p_D_MUX2X1P4H7L_Y_A_NOR2BX1H7L_Z,1.2,2.363e-07,0.000e+00,1.369e-09,2.377e-07
count_10__reg_p_D_NOR2X0P5H7L_Y_B_XNOR2X0P5H7L_Y_B_NOR3X0P5H7L_Y_A_NAND2X0P5H7L_Y,1.2,2.362e-07,0.000e+00,5.628e-10,2.368e-07
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_Y_AOAI211X0P5H7L_C0_A0_NOR4X0P5H7L_Y,1.2,2.316e-07,0.000e+00,2.570e-10,2.318e-07
count_30__NOR3X0P5H7L_A,1.2,2.298e-07,0.000e+00,4.875e-10,2.303e-07
count_20__reg_p_D_AOI21X2H7L_Y_A1_OR3X1P4H7L_Y_C_OR2X1P4H7L_B_A_INVX0P5H7L_Y,1.2,1.938e-07,0.000e+00,7.329e-10,1.945e-07
count_26__NOR4X0P5H7L_A,1.2,1.896e-07,0.000e+00,2.570e-10,1.898e-07
count_26__NOR4X0P5H7L_A_Y_NAND3X0P5H7L_A_Y_NOR3X3H7L_A_C_NAND3X0P5H7L_Y_B_NOR3X0P5H7L_Y,1.2,1.691e-07,0.000e+00,3.897e-10,1.695e-07
led[0]_reg_p_D_MUXI2X0P5H7L_Y_A_NOR2X0P5H7L_Y,1.2,1.069e-07,0.000e+00,5.551e-10,1.075e-07
count_24__NOR2X0P5H7L_A,1.2,1.061e-07,0.000e+00,5.551e-10,1.067e-07
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B_A_INVX0P5H7L_Y,1.2,4.150e-08,0.000e+00,6.395e-10,4.214e-08
count_16__reg_p_D_NOR2X3H7L_Y_B_XNOR2X3H7L_Y_A_INVX0P5H7L_Y,1.2,4.061e-08,0.000e+00,6.395e-10,4.125e-08
count_26__NOR4X0P5H7L_A_Y_AND4X0P5H7L_B,1.2,2.761e-08,0.000e+00,5.195e-10,2.813e-08
count_23__reg_p,1.2,0.000e+00,0.000e+00,7.130e-09,7.130e-09
