Instance Name,Nominal Voltage,Internal Power,Switch Power,Leakage Power,Total Power
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C,1.2,5.352e-06,0.000e+00,8.395e-11,5.352e-06
R[0]_5__XNOR2X4H7R_A,1.2,5.287e-06,0.000e+00,5.958e-10,5.288e-06
R[2]_2__reg_p_D_NOR2X0P5H7R_Y_B_OAO211X0P5H7R_Y_A1_XNOR2X0P5H7R_Y_A_OAI2BB1X0P5H7R_Y_B0_OAI21X0P5H7R_Y,1.2,5.240e-06,0.000e+00,8.746e-11,5.240e-06
R[2]_2__MUX2X3H7R_A_Y_OAI21X4H7R_A1,1.2,5.160e-06,0.000e+00,2.852e-10,5.161e-06
out_5__reg_p_D_OAOI211X0P5H7R_Y_A0_XNOR2X0P5H7R_A,1.2,5.112e-06,0.000e+00,3.558e-10,5.113e-06
R[0]_7__reg_p_D_NOR3X1P4H7R_Y,1.2,4.854e-06,0.000e+00,8.235e-11,4.854e-06
R[1]_7__reg_p_D_NOR3X1P4H7R_Y,1.2,4.809e-06,0.000e+00,8.279e-11,4.809e-06
out_5__reg_p_D_OAOI211X0P5H7R_Y_A0_XNOR2X0P5H7R_A_Y_XNOR2X1P4H7R_B_A_NOR2X1P4H7R_Y,1.2,4.776e-06,0.000e+00,1.036e-10,4.777e-06
R[2]_2__reg_p_D_NOR2X0P5H7R_Y_B_OAO211X0P5H7R_Y_C0_OR3X1H7R_C,1.2,4.700e-06,0.000e+00,1.779e-10,4.700e-06
R[0]_5__XNOR2X4H7R_A_Y_AO31X4H7R_A0_A2_AOI222X4H7R_Y_A1_AO21X1P4H7R_Y,1.2,4.599e-06,0.000e+00,1.995e-10,4.599e-06
pc_1__$_XOR__B_Y_$_MUX__A_Y_$_MUX__A_Y_OR3X1H7R_Y_C_OAI21X0P5H7R_Y,1.2,4.538e-06,0.000e+00,8.656e-11,4.538e-06
R[2]_1__MUX2X3H7R_A_Y_OAI21X3H7R_A1,1.2,4.484e-06,0.000e+00,2.276e-10,4.484e-06
out_7__reg_p_D_OAOI211X0P5H7R_Y_B0_NAND2X0P5H7R_Y_A_XOR2X0P5H7R_A_B_AOAI211X0P5H7R_Y,1.2,4.177e-06,0.000e+00,8.678e-11,4.177e-06
out_0__reg_p_D_OAOI211X0P5H7R_Y,1.2,4.142e-06,0.000e+00,8.957e-11,4.142e-06
R[1]_5__MUX2X0P5H7R_B_Y_OAI21X0P5H7R_A1_Y_NOR3X1P4H7R_C_Y_OA211X3H7R_A1_C0_XOR2X0P5H7R_Y,1.2,3.984e-06,0.000e+00,3.549e-10,3.984e-06
R[0]_5__reg_p_D_NOR3X1P4H7R_Y,1.2,3.894e-06,0.000e+00,8.291e-11,3.894e-06
